"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 23 19:36:15 MSK 2020","Sat May 23 19:36:16 MSK 2020","1236","test","test_add_group","","","","test_add_group[None:;;]",""
"passed","Sat May 23 19:36:22 MSK 2020","Sat May 23 19:36:25 MSK 2020","2772","test","test_db_matches_ui","","","","test_group_list",""
"failed","Sat May 23 19:35:33 MSK 2020","Sat May 23 19:35:40 MSK 2020","7881","test","test_add_contact","","","","test_add_contact[None:last_name V  , first_nameL&Zln#*)T, None, None]",""
"passed","Sat May 23 19:36:41 MSK 2020","Sat May 23 19:36:42 MSK 2020","1770","test","test_modify_group","","","","test_modify_some_group",""
"passed","Sat May 23 19:36:44 MSK 2020","Sat May 23 19:36:45 MSK 2020","1058","test","test_phones","","","","test_phones_on_view_page",""
"failed","Sat May 23 19:36:31 MSK 2020","Sat May 23 19:36:32 MSK 2020","946","test","test_general_contact_info","","","","test_contact_info_on_home_page",""
"broken","Sat May 23 19:35:31 MSK 2020","Sat May 23 19:35:32 MSK 2020","1270","test","test_add_contact","","","","test_add_contact[None:, , None, None]",""
"passed","Sat May 23 19:36:20 MSK 2020","Sat May 23 19:36:21 MSK 2020","1131","test","test_add_group","","","","test_add_group[None:name/3*!0l.;headerh.H""XH<po?V A7g(8Pu;footert;a]",""
"passed","Sat May 23 19:36:17 MSK 2020","Sat May 23 19:36:19 MSK 2020","1137","test","test_add_group","","","","test_add_group[None:nameG@4;headeruY;footer]",""
"passed","Sat May 23 19:36:29 MSK 2020","Sat May 23 19:36:30 MSK 2020","1095","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Sat May 23 19:36:32 MSK 2020","Sat May 23 19:36:40 MSK 2020","7884","test","test_modify_contact","","","","test_edit_some_contact",""
"passed","Sat May 23 19:36:25 MSK 2020","Sat May 23 19:36:29 MSK 2020","3419","test","test_db_matches_ui","","","","test_group_list_time",""
"failed","Sat May 23 19:35:41 MSK 2020","Sat May 23 19:35:49 MSK 2020","7849","test","test_add_contact","","","","test_add_contact[None:last_namef~""vut+, first_name_j, None, None]",""
"passed","Sat May 23 19:35:49 MSK 2020","Sat May 23 19:35:57 MSK 2020","7988","test","test_add_contact","","","","test_add_contact[None:last_name-, first_namez `xf,g, None, None]",""
"passed","Sat May 23 19:36:42 MSK 2020","Sat May 23 19:36:44 MSK 2020","1429","test","test_phones","","","","test_phones_on_home_page",""
"failed","Sat May 23 19:36:05 MSK 2020","Sat May 23 19:36:13 MSK 2020","8085","test","test_add_contact","","","","test_add_contact[None:last_nameZ!?I, first_name_:R:~, None, None]",""
"passed","Sat May 23 19:36:16 MSK 2020","Sat May 23 19:36:17 MSK 2020","1133","test","test_add_group","","","","test_add_group[None:name;header%FE;footerr?A:WKx]",""
"broken","Sat May 23 19:36:31 MSK 2020","Sat May 23 19:36:31 MSK 2020","0","test","test_dell_contact_from_group","","","","test_dell_contact_from_group",""
"passed","Sat May 23 19:36:21 MSK 2020","Sat May 23 19:36:22 MSK 2020","1188","test","test_add_group","","","","test_add_group[None:name?c;headerK;footer:J n-66~6&Y 5_]",""
"passed","Sat May 23 19:36:30 MSK 2020","Sat May 23 19:36:31 MSK 2020","808","test","test_del_group","","","","test_delete_some_group",""
"passed","Sat May 23 19:36:19 MSK 2020","Sat May 23 19:36:20 MSK 2020","1132","test","test_add_group","","","","test_add_group[None:name};header# FFcA=n09?;footer%Yj3Xx6~BH]",""
"passed","Sat May 23 19:36:14 MSK 2020","Sat May 23 19:36:15 MSK 2020","846","test","test_add_contact_to_group","","","","test_add_contact_to_group",""
"passed","Sat May 23 19:35:57 MSK 2020","Sat May 23 19:36:05 MSK 2020","7995","test","test_add_contact","","","","test_add_contact[None:last_name+, first_name Fx^Nu.c, None, None]",""
